player,player_id,organization_id,game_date,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Aaron Falzon,0,1,2018-01-29,14,2,6,.333,0,3,.000,2,3,.667,0,0,,0,2,2,0,0,0,0,0,6
Gavin Skelly,0,1,2018-01-29,24,2,4,.500,2,4,.500,0,0,,1,1,1.000,1,5,6,0,1,0,1,2,5
Bryant McIntosh,0,1,2018-01-29,35,3,10,.300,3,8,.375,0,2,.000,0,1,.000,0,3,3,5,0,0,3,4,6
Dererk Pardon,0,1,2018-01-29,35,4,7,.571,4,7,.571,0,0,,1,3,.333,4,3,7,0,0,0,4,2,9
Scottie Lindsey,0,1,2018-01-29,37,5,11,.455,3,6,.500,2,5,.400,3,3,1.000,0,2,2,1,0,0,3,4,15
Vic Law,0,1,2018-01-29,28,2,8,.250,2,3,.667,0,5,.000,2,2,1.000,0,7,7,1,1,1,3,3,6
Jordan Ash,0,1,2018-02-01,8,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0
Barret Benson,0,1,2018-02-01,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Anthony Gaines,0,1,2018-02-01,8,0,1,.000,0,0,,0,1,.000,0,0,,0,3,3,0,0,0,1,1,0
Aaron Falzon,0,1,2018-02-01,18,0,2,.000,0,1,.000,0,1,.000,2,3,.667,2,0,2,0,0,0,0,2,2
Dererk Pardon,0,1,2018-02-01,38,8,8,1.000,8,8,1.000,0,0,,1,2,.500,2,2,4,1,0,3,0,1,17
Bryant McIntosh,0,1,2018-02-01,32,2,8,.250,2,7,.286,0,1,.000,6,6,1.000,0,1,1,4,1,0,7,2,10
Scottie Lindsey,0,1,2018-02-01,36,4,12,.333,2,7,.286,2,5,.400,4,4,1.000,1,3,4,1,0,0,2,1,14
Gavin Skelly,0,1,2018-02-01,22,3,4,.750,2,2,1.000,1,2,.500,1,2,.500,0,5,5,1,2,0,1,4,8
Vic Law,0,1,2018-02-01,36,4,7,.571,3,6,.500,1,1,1.000,0,0,,0,8,8,2,1,1,1,3,9
Scottie Lindsey,0,1,2018-02-06,36,6,13,.462,2,7,.286,4,6,.667,3,4,.750,1,6,7,1,1,0,0,3,19
Vic Law,0,1,2018-02-06,36,2,10,.200,1,2,.500,1,8,.125,2,2,1.000,1,6,7,1,2,0,3,2,7
Bryant McIntosh,0,1,2018-02-06,34,8,11,.727,5,8,.625,3,3,1.000,5,7,.714,2,1,3,5,0,0,1,3,24
Gavin Skelly,0,1,2018-02-06,30,1,6,.167,1,3,.333,0,3,.000,0,0,,0,9,9,1,1,0,2,2,2
Jordan Ash,0,1,2018-02-06,11,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2
Barret Benson,0,1,2018-02-06,11,0,0,,0,0,,0,0,,2,2,1.000,1,0,1,1,0,0,0,2,2
Aaron Falzon,0,1,2018-02-06,10,0,1,.000,0,0,,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0
Anthony Gaines,0,1,2018-02-06,5,0,2,.000,0,0,,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0
Dererk Pardon,0,1,2018-02-06,27,2,5,.400,2,5,.400,0,0,,1,2,.500,1,0,1,1,0,2,0,4,5
Tino Malnati,0,1,2018-02-10,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0
Aaron Falzon,0,1,2018-02-10,17,2,4,.500,0,1,.000,2,3,.667,2,2,1.000,0,0,0,0,0,0,0,1,8
Isiah Brown,0,1,2018-02-10,3,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
Barret Benson,0,1,2018-02-10,7,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Anthony Gaines,0,1,2018-02-10,17,0,1,.000,0,0,,0,1,.000,4,4,1.000,1,3,4,0,0,0,3,2,4
Gavin Skelly,0,1,2018-02-10,23,2,7,.286,1,4,.250,1,3,.333,0,0,,0,2,2,0,1,0,0,4,5
Dererk Pardon,0,1,2018-02-10,34,4,9,.444,4,9,.444,0,0,,4,7,.571,5,3,8,0,2,0,4,3,12
Scottie Lindsey,0,1,2018-02-10,34,8,20,.400,4,10,.400,4,10,.400,0,0,,2,3,5,3,0,0,2,2,20
Vic Law,0,1,2018-02-10,36,3,9,.333,1,5,.200,2,4,.500,0,0,,2,3,5,3,2,0,1,0,8
Bryant McIntosh,0,1,2018-02-10,28,0,5,.000,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,3,3,0
Vic Law,0,1,2018-02-13,42,2,7,.286,1,4,.250,1,3,.333,2,4,.500,1,4,5,1,0,0,2,3,7
Dererk Pardon,0,1,2018-02-13,41,6,7,.857,6,7,.857,0,0,,0,0,,6,7,13,0,0,4,1,1,12
Scottie Lindsey,0,1,2018-02-13,38,7,20,.350,4,12,.333,3,8,.375,2,3,.667,0,4,4,3,0,0,4,2,19
Gavin Skelly,0,1,2018-02-13,25,2,9,.222,2,5,.400,0,4,.000,0,0,,2,1,3,1,0,0,0,3,4
Bryant McIntosh,0,1,2018-02-13,14,1,5,.200,1,3,.333,0,2,.000,0,0,,0,1,1,5,0,0,2,1,2
Anthony Gaines,0,1,2018-02-13,30,2,3,.667,1,2,.500,1,1,1.000,1,2,.500,0,2,2,1,1,1,0,3,6
Aaron Falzon,0,1,2018-02-13,22,3,8,.375,1,3,.333,2,5,.400,0,0,,2,0,2,1,0,1,1,4,8
Isiah Brown,0,1,2018-02-13,9,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,2,1,0
Barret Benson,0,1,2018-02-13,4,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0
Isiah Brown,0,1,2018-02-17,12,2,5,.400,2,5,.400,0,0,,0,0,,1,1,2,0,0,0,1,2,4
Barret Benson,0,1,2018-02-17,13,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,4,0
Gavin Skelly,0,1,2018-02-17,23,3,8,.375,1,4,.250,2,4,.500,3,3,1.000,0,2,2,0,0,1,0,5,11
Aaron Falzon,0,1,2018-02-17,20,0,5,.000,0,2,.000,0,3,.000,0,0,,0,3,3,0,0,0,0,0,0
Scottie Lindsey,0,1,2018-02-17,31,2,7,.286,0,2,.000,2,5,.400,0,0,,0,5,5,2,1,0,1,2,6
Anthony Gaines,0,1,2018-02-17,37,4,9,.444,4,9,.444,0,0,,2,2,1.000,3,2,5,4,0,0,0,3,10
Vic Law,0,1,2018-02-17,40,7,17,.412,2,6,.333,5,11,.455,2,2,1.000,0,3,3,5,1,1,3,2,21
Dererk Pardon,0,1,2018-02-17,24,3,4,.750,3,4,.750,0,0,,2,3,.667,4,2,6,1,2,0,1,4,8
Anthony Gaines,0,1,2018-02-19,38,2,5,.400,1,2,.500,1,3,.333,1,2,.500,1,3,4,5,2,0,0,2,6
Scottie Lindsey,0,1,2018-02-19,36,6,12,.500,3,7,.429,3,5,.600,0,0,,1,1,2,2,0,0,6,4,15
Dererk Pardon,0,1,2018-02-19,36,5,6,.833,5,6,.833,0,0,,4,7,.571,3,3,6,0,1,3,0,3,14
